datetime,username,channel,message
2022-04-26T11:13:17.575585,beepulse,#thebausffs,SUICIDAL monkaW
2022-04-26T11:13:17.575722,jhincognito,#thebausffs,CLUELESS
2022-04-26T11:13:17.731715,freakishmang0,#thebausffs,"@EpicSpoon__ you must be new to league. search a laning youtube video, theyre super helpful to new players!!"
2022-04-26T11:13:17.888410,izzo_eu,#thebausffs,forsen
2022-04-26T11:13:17.888686,everlasting_torment,#thebausffs,Copege its the champ
2022-04-26T11:13:18.045044,thefurqan,#xqcow,nahi
2022-04-26T11:13:15.185686,thezoh,#thebausffs,tiny bit of confirmation bias :)
2022-04-26T11:13:15.185867,redrige,#thebausffs,you int with other champs too
2022-04-26T11:13:15.185992,nottoobadaye,#thebausffs,SHAMPION
2022-04-26T11:13:15.342209,kazal_d,#xqcow,iss baar
2022-04-26T11:13:15.498901,jaybreeze009,#thebausffs,copiummm
2022-04-26T11:13:15.499109,br0m1ke,#thebausffs,Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT Copege 🚨  MAJOR COPE ALERT
2022-04-26T11:13:15.499261,malding_molina,#thebausffs,Copege ITSTHE CHAMPION
2022-04-26T11:13:15.906643,b1ueumbre11a,#thebausffs,Kappa
2022-04-26T11:13:16.147039,floogg,#thebausffs,ReallyMad
2022-04-26T11:13:16.303613,pupu420,#thebausffs,OKAY NOW UR JUST TILTING YOURSELF
2022-04-26T11:13:16.303661,jipetkia,#thebausffs,nostalgic song
2022-04-26T11:13:16.762507,sumdumfrak,#thebausffs,COPE LOLW
2022-04-26T11:13:16.919076,francocentral,#thebausffs,!rank
2022-04-26T11:13:17.075648,likeclockwork_,#thebausffs,Kapp
2022-04-26T11:13:17.075808,omegalyl,#thebausffs,Kappa
2022-04-26T11:13:17.075938,xertwert,#thebausffs,PepeLaffing we'll see
2022-04-26T11:13:13.169100,based_one,#thebausffs,Copege
2022-04-26T11:13:13.169313,battleshrimptv,#thebausffs,you just died with quinn Sadge
2022-04-26T11:13:13.325638,potato0boy,#thebausffs,Kappa
2022-04-26T11:13:13.482803,logicshotgm,#thebausffs,From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West tobeast of the East PogChamp
2022-04-26T11:13:13.483013,foxetto,#thebausffs,Jammer
2022-04-26T11:13:13.483162,zerojustice,#thebausffs,Kappa
2022-04-26T11:13:13.483284,marilyo,#thebausffs,l
2022-04-26T11:13:13.668774,shinoo_,#thebausffs,bausExplainingHow 2/18 is normal bausExplainingHow 2/18 is normal bausExplainingHow 2/18 is normal bausExplainingHow 2/18 is normal
2022-04-26T11:13:13.825442,graypanda666xxx,#thebausffs,HUH
2022-04-26T11:13:13.825597,chukamgiqko,#thebausffs,INTER
2022-04-26T11:13:13.825715,enterdragone,#thebausffs,Copege
2022-04-26T11:13:13.825842,paraleyser,#thebausffs,Copege
2022-04-26T11:13:13.982070,chad_in_the_chat420,#thebausffs,Copege Copege Copege Copege Copege Copege Copege Copege Copege Copege
2022-04-26T11:13:10.232493,ripzaddo,#thebausffs,Sadge
2022-04-26T11:13:10.530692,variedheart,#thebausffs,Kappa
2022-04-26T11:13:10.687213,micrxn,#thebausffs,probably a subscriber
